X,Y,Topography,Grav,Mag
612850,1582860,629.9395447,-97.40304761,-2.254826546
614050,1582860,638.6385905,-96.6868423,-4.197080612
615250,1582860,649.3250936,-95.08012314,-42.31958008
616450,1582860,667.8271179,-93.56561589,-16.03488731
617650,1582860,683.5865784,-93.81699991,-18.78250313
618850,1582860,682.6122843,-95.94746971,-18.07073784
620050,1582860,692.6600545,-96.14815693,-15.7114296
621250,1582860,705.7009583,-95.70611296,-14.51918888
622450,1582860,741.7314046,-95.92349334,-11.5328989
623650,1582860,767.8594259,-93.83538842,-7.463730812
624850,1582860,771.4994405,-92.27091622,4.554101944
626050,1582860,757.638092,-91.58188906,6.566350937
627250,1582860,745.655721,-89.66599464,-7.220933914
628450,1582860,739.8139648,-88.36671705,-12.39570522
629650,1582860,732.7649943,-90.07106552,-15.70904255
630850,1582860,726.5093486,-92.08859277,-16.81998634
632050,1582860,724.9839579,-94.01668816,-11.21521187
633250,1582860,722.9844055,-92.80338669,-8.467007637
634450,1582860,719.9892273,-92.05330782,-13.71544838
